ts,open,high,low,close,volume
2016-01-01,429.17,436.49,426.26,433.98,13077.668908089985
2016-01-02,433.89,435.8,430.0,432.7,6347.952930869999
2016-01-03,432.66,433.07,421.73,428.39,19201.833363169986
2016-01-04,428.63,435.67,426.97,432.9,12950.382032459991
2016-01-05,432.61,434.91,427.91,431.84,11172.003817339995
2016-01-06,431.99,432.24,425.03,428.89,9440.114764379998
2016-01-07,428.2,462.0,427.11,458.78,55448.62348451006
2016-01-08,458.41,465.0,446.55,454.0,29967.953086950012
2016-01-09,454.0,456.01,447.07,449.23,8950.479347159999
2016-01-10,449.23,450.26,441.01,449.35,13778.255966589995
2016-01-11,449.34,452.49,443.42,449.26,14814.611919909996
2016-01-12,449.26,449.98,427.01,432.04,20739.288079160033
2016-01-13,431.99,436.36,416.0,431.11,33154.907713290086
2016-01-14,431.09,435.0,426.0,429.25,13304.537786190001
2016-01-15,429.27,429.43,357.02,359.16,123890.2707197705
2016-01-16,359.16,392.5,352.5,388.4,74062.26019306021
2016-01-17,388.43,393.31,378.76,382.02,20715.004300739998
2016-01-18,382.11,390.0,375.01,387.1,19469.04404369002
2016-01-19,387.04,388.61,377.41,378.93,17187.636038819994
2016-01-20,378.94,428.0,375.01,419.55,82802.50152887005
2016-01-21,419.65,424.57,405.0,411.01,29020.246475600026
2016-01-22,411.0,411.2,371.25,380.96,62213.919562690055
2016-01-23,381.0,394.81,379.85,385.57,21470.91850296999
2016-01-24,385.55,407.33,385.1,402.77,23219.927837279996
2016-01-25,402.76,402.77,384.0,390.96,22664.639672129983
2016-01-26,390.91,398.0,386.66,391.41,13322.870429169994
2016-01-27,391.23,396.99,389.66,394.97,8538.432035689999
2016-01-28,394.7,395.48,375.01,378.39,25024.08113809002
2016-01-29,378.15,386.0,360.03,377.6,62204.81102909007
2016-01-30,377.4,380.6,374.0,376.56,10501.94797823
2016-01-31,376.31,378.9,362.57,365.52,14887.778690270025
2016-02-01,365.58,379.27,363.23,371.42,24797.196758549995
2016-02-02,371.22,374.8,369.69,372.9,10443.462138559998
2016-02-03,372.9,374.0,365.65,368.98,13195.150196849994
2016-02-04,369.0,393.89,368.65,389.96,37339.91926220005
2016-02-05,389.98,393.0,384.19,386.54,16879.235868739997
2016-02-06,386.54,386.54,365.0,373.75,40202.13384674011
2016-02-07,373.71,377.8,369.17,372.01,13056.062393659997
2016-02-08,372.26,377.0,369.01,370.49,16881.205521739997
2016-02-09,370.29,377.96,370.04,374.31,9216.518899229999
2016-02-10,374.43,387.0,373.13,381.17,33532.24585818001
2016-02-11,380.97,383.23,372.25,377.99,14521.328019789995
2016-02-12,378.0,383.53,377.04,382.94,10146.835845369998
2016-02-13,382.94,393.0,382.55,393.0,14755.537655909988
2016-02-14,392.99,408.66,392.93,408.3,29423.6760944
2016-02-15,408.3,412.5,395.23,399.9,30129.685193289995
2016-02-16,400.08,408.77,398.66,407.27,13991.056777409996
2016-02-17,407.37,421.9,405.16,414.88,30400.764893609998
2016-02-18,414.89,426.21,412.51,421.5,25228.634429380003
2016-02-19,421.51,422.54,412.0,419.85,13268.55624683001
2016-02-20,419.72,445.96,419.72,438.7,47477.18201239002
2016-02-21,438.73,451.6,428.01,440.49,43012.36409730003
2016-02-22,440.49,442.5,433.01,440.27,16337.466439879994
2016-02-23,440.25,442.67,416.24,421.4,32431.14307513011
2016-02-24,421.5,427.5,409.69,426.36,22426.108997230007
2016-02-25,426.36,430.0,419.5,424.88,13595.760308449997
2016-02-26,424.89,435.9,419.83,435.49,18860.341893469977
2016-02-27,435.49,438.6,431.81,434.3,11592.35336819
2016-02-28,434.03,437.89,422.1,434.45,19852.27109853992
2016-02-29,434.46,445.0,430.51,438.99,20389.46046158
2016-03-01,439.53,442.79,427.26,434.82,19625.832775420004
2016-03-02,434.99,436.45,421.11,422.09,16463.129152609992
2016-03-03,421.7,424.43,416.4,420.56,20874.05140073001
2016-03-04,420.19,423.99,407.5,408.82,21749.41985593
2016-03-05,408.71,410.14,389.0,397.36,46951.851601380076
2016-03-06,397.37,409.5,392.01,403.75,19707.20471996999
2016-03-07,403.77,415.8,401.51,412.7,15306.221330259998
2016-03-08,412.62,416.0,406.0,411.35,10227.455512019997
2016-03-09,411.34,414.5,407.47,413.05,9027.753218880001
2016-03-10,412.9,418.24,410.68,416.51,13709.082920750001
2016-03-11,416.64,423.6,415.5,420.47,15464.778642660009
2016-03-12,420.49,421.81,406.38,410.01,17020.425544629994
2016-03-13,410.01,416.0,410.0,411.87,7628.34253444
2016-03-14,412.0,417.99,411.7,415.91,9210.432258499999
2016-03-15,415.99,418.82,412.78,415.5,9632.105654379999
2016-03-16,415.52,418.0,413.96,417.28,7066.706446920002
2016-03-17,417.28,420.6,416.67,418.75,8308.821378349998
2016-03-18,418.71,418.86,403.01,407.86,21090.86035612
2016-03-19,407.5,412.0,404.0,408.68,8954.99064014
2016-03-20,408.7,413.2,407.92,411.25,5655.4961424
2016-03-21,410.81,412.14,406.0,411.88,7818.387808419999
2016-03-22,411.85,418.68,409.88,417.7,10196.105812220003
2016-03-23,417.7,419.72,415.83,418.12,7195.021234229999
2016-03-24,418.12,418.13,414.0,415.3,7559.671086359999
2016-03-25,415.3,417.03,413.03,416.0,3690.2458806299996
2016-03-26,416.02,419.4,413.2,416.71,5039.739359420001
2016-03-27,416.72,431.0,415.79,427.36,22410.756896220086
2016-03-28,427.34,427.99,422.38,424.06,9241.01649983
2016-03-29,424.03,426.41,406.51,416.0,23306.730600220042
2016-03-30,415.87,416.0,408.58,413.12,9037.93067535
2016-03-31,413.04,418.25,413.04,416.02,7268.317659990001
2016-04-01,416.34,417.9,414.0,417.9,5456.769438869998
2016-04-02,417.89,422.8,417.53,420.3,6070.78823934
2016-04-03,420.31,421.82,416.0,420.6,4254.119948250001
2016-04-04,420.99,421.2,416.24,420.46,5751.293142380002
2016-04-05,420.46,425.0,419.61,423.75,7261.820826749995
2016-04-06,423.75,424.68,421.69,422.57,5680.193073059999
2016-04-07,422.52,422.86,417.78,422.28,7727.140245589997
2016-04-08,422.29,424.49,415.5,418.5,9847.578526090003
2016-04-09,418.23,418.76,412.0,418.47,6326.973498550004
2016-04-10,418.48,422.9,417.49,421.32,4248.021756399997
2016-04-11,421.32,423.9,418.8,423.74,6404.8393151
2016-04-12,423.75,430.0,423.56,426.59,14772.70507218
2016-04-13,426.78,427.68,423.0,424.75,6666.454458629999
2016-04-14,424.77,426.49,424.01,426.01,4132.51666239
2016-04-15,426.01,432.49,426.01,431.48,15836.344432849995
2016-04-16,431.06,435.67,430.47,432.04,7705.230141059993
2016-04-17,432.52,433.49,426.37,428.51,8483.817212520002
2016-04-18,428.51,430.91,426.52,430.03,7577.099822269999
2016-04-19,430.04,439.0,428.54,437.76,12049.763165290004
2016-04-20,437.81,446.61,436.6,443.85,21245.469975680004
2016-04-21,443.82,454.5,442.01,452.26,17836.128148699987
2016-04-22,452.01,453.15,444.51,447.8,12208.124217030003
2016-04-23,447.79,454.95,445.67,453.69,10158.088742180005
2016-04-24,453.41,464.99,450.18,463.02,24137.226633820006
2016-04-25,463.33,471.58,455.0,461.77,25926.48595879999
2016-04-26,461.77,471.99,461.77,468.14,18688.00355841001
2016-04-27,468.14,470.17,443.0,444.85,40283.22481066003
2016-04-28,445.14,450.83,435.0,450.46,25328.14705281003
2016-04-29,450.52,457.49,445.8,455.32,13419.029873499996
2016-04-30,455.33,455.98,445.01,446.6,10583.370061759999
2016-05-01,446.79,452.99,445.69,451.11,3901.33894349
2016-05-02,451.12,452.5,436.0,443.73,29738.734057870028
2016-05-03,443.99,452.0,440.1,450.39,12157.57208565
2016-05-04,450.21,450.98,445.07,447.38,7045.363568919999
2016-05-05,447.22,451.68,445.51,448.4,10788.726965439999
2016-05-06,448.32,466.0,448.0,461.18,26539.519609510022
2016-05-07,461.36,463.05,458.3,460.2,7810.8549237499965
2016-05-08,460.34,461.62,456.04,459.87,6454.871890500002
2016-05-09,459.88,465.4,457.8,461.56,15120.9467619
2016-05-10,461.23,465.0,445.01,450.7,22571.93908792002
2016-05-11,450.7,454.68,450.01,452.28,8033.3444699699985
2016-05-12,452.28,456.75,445.91,455.01,18088.011603890005
2016-05-13,455.0,457.66,452.0,455.76,7127.417904729998
2016-05-14,455.75,458.86,454.0,455.8,3608.809029349999
2016-05-15,455.8,460.67,454.31,457.89,5644.05214261
2016-05-16,457.95,458.95,451.0,453.01,8789.98783701001
2016-05-17,453.0,454.91,451.0,453.24,7609.409110390001
2016-05-18,452.71,457.0,451.53,453.52,7162.257039350001
2016-05-19,453.52,454.71,433.0,434.55,30396.81255853006
2016-05-20,434.99,443.14,433.0,441.57,14241.015744510003
2016-05-21,441.57,442.16,435.3,440.81,6222.70927555
2016-05-22,440.88,441.0,435.1,437.48,7236.706016030001
2016-05-23,437.4,444.4,436.51,443.51,7873.127273279998
2016-05-24,443.53,447.85,442.39,445.03,8329.83371693
2016-05-25,445.0,450.51,442.5,449.09,12353.39238921001
2016-05-26,449.09,454.8,446.01,453.95,9517.72213887999
2016-05-27,453.58,482.31,453.58,472.01,59125.78988828005
2016-05-28,472.01,543.0,471.0,526.02,74521.63290893022
2016-05-29,527.0,570.0,512.11,531.0,83566.13453410033
2016-05-30,529.97,548.5,521.11,532.89,32596.675723650005
2016-05-31,533.14,546.5,518.0,530.69,49880.61185947006
2016-06-01,530.69,546.12,523.75,536.79,27816.55857142
2016-06-02,536.91,544.0,532.37,538.8,16882.36888075
2016-06-03,538.9,579.94,535.65,570.87,48446.29176522007
2016-06-04,570.82,593.89,560.1,572.87,39118.52413869003
2016-06-05,573.08,586.47,564.64,574.02,28143.301081859998
2016-06-06,574.01,588.6,573.93,585.34,27464.294823040007
2016-06-07,585.59,592.08,561.3,576.88,36112.753034450056
2016-06-08,577.23,585.15,570.62,583.05,18084.176162129996
2016-06-09,583.26,584.05,569.97,575.52,21873.89242108999
2016-06-10,575.52,582.43,572.5,580.09,16178.042394170012
2016-06-11,580.08,615.0,579.29,614.51,28441.703906840135
2016-06-12,614.51,685.0,601.34,672.0,116432.04033077082
2016-06-13,671.98,719.0,658.0,705.87,117683.17615480995
2016-06-14,705.87,705.88,656.51,684.5,65715.5700167702
2016-06-15,684.5,699.4,667.89,696.99,34104.051553910016
2016-06-16,698.0,779.0,697.31,769.5,123792.10326991059
2016-06-17,769.46,780.0,702.01,747.95,97376.6511267502
2016-06-18,747.7,789.78,720.0,757.6,66955.08891907019
2016-06-19,757.63,775.0,739.0,767.3,26699.530995940007
2016-06-20,767.31,767.77,721.0,743.9,46264.53575564008
