ts,open,high,low,close,volume
2016-03-13,10.297,15.074,10.097,14.456,710.0910240000001
2016-03-20,14.531,14.95,8.338,10.268,149075.25472620997
2016-03-27,10.219,12.47,10.14,10.407,75073.98706272
2016-04-03,10.446,12.3,10.4,11.61,71115.01253707001
2016-04-10,11.61,11.665,7.52,8.931,131661.39023522
2016-04-17,8.9299,10.899,6.855,9.29,133405.66488986995
2016-04-24,9.29,9.55,7.73,8.1404,152391.07713810998
2016-05-01,8.1735,9.36,7.1205,8.7911,258465.19236539002
2016-05-08,8.83,10.3,8.633,9.51,225225.23947181
2016-05-15,9.5,11.11,9.252,10.008,204391.48579722003
2016-05-22,9.968,14.89,9.968,14.21,667362.02744664
2016-05-29,14.224,14.49,10.384,12.45,807597.9204288101
2016-06-05,12.482,14.3,12.3,13.895,438532.5794282001
2016-06-12,13.97,16.087,13.561,15.778,457396.5942284402
2016-06-19,15.778,21.69,10.133,12.251,3647710.0061099976
2016-06-26,12.251,15.9,10.51,13.754,1502114.837919951
2016-07-03,13.744,14.188,11.513,11.763,667177.2264459801
2016-07-10,11.753,11.85,9.353,10.96,876462.0795755096
2016-07-17,10.95,12.553,10.201,11.255,647140.59073729
2016-07-24,11.255,15.146,11.009,12.771,2047027.9588673506
2016-07-31,12.771,13.86,11.303,11.876,1297348.1476104201
2016-08-07,11.87,12.041,9.9,10.165,376660.73357526993
2016-08-14,11.0,12.33,11.0,11.16,408072.9272145401
2016-08-21,11.092,11.301,10.61,11.135,351857.22461041
2016-08-28,11.199,11.42,10.896,10.932,98854.37364386
2016-09-04,10.932,12.598,10.781,11.737,124180.23913467
2016-09-11,11.725,12.298,11.264,11.672,189946.31851736002
2016-09-18,11.682,13.101,11.632,12.45,467254.90155814006
2016-09-25,12.447,15.4,12.394,13.08,313265.4740612401
2016-10-02,13.08,13.487,12.81,13.16,112605.37182064
2016-10-09,13.221,13.5,11.99,12.012,170037.49403589
2016-10-16,12.027,12.33,11.6,12.02,202589.96061143008
2016-10-23,11.945,12.91,11.811,12.07,178629.43760632002
2016-10-30,12.05,12.23,9.5,11.26,261986.20373171996
2016-11-06,11.246,11.5,10.405,10.91,155113.44565261
2016-11-13,10.908,11.211,9.68,10.127,99499.84561184
2016-11-20,10.116,10.5,9.455,9.5709,130403.57679519999
2016-11-27,9.538,10.255,8.7,8.9247,114911.92149621001
2016-12-04,8.9001,9.0172,7.1,7.4048,344674.52213527047
2016-12-11,7.4,8.8446,5.861,8.17,382108.07126429
2016-12-18,8.1949,8.626,7.4733,7.909,144698.14111332
2016-12-25,7.9039,7.962,7.1091,7.1826,143248.46028137
2017-01-01,7.1826,8.6,7.05,8.196,313629.15174104006
2017-01-08,8.22,11.7,8.114,10.29,745530.5904353093
2017-01-15,10.359,10.839,9.082,9.728,248088.31351166996
2017-01-22,9.7419,11.092,9.53,10.664,295376.0560666701
2017-01-29,10.683,10.827,10.35,10.456,163871.17208893996
2017-02-05,10.435,11.4,10.376,11.133,325650.13444592006
2017-02-12,11.21,11.6,10.409,11.264,262247.59025366005
2017-02-19,11.333,13.4,11.05,12.801,465216.21172798
2017-02-26,12.81,14.66,12.25,14.568,406570.92622215
2017-03-05,14.567,20.733,14.301,19.339,1332725.42394332
2017-03-12,19.292,23.232,16.25,23.198,1384942.9099758195
2017-03-19,23.24,51.879,23.222,43.168,4384136.8195933495
2017-03-26,43.169,58.989,38.51,50.415,1604889.1662123995
2017-04-02,50.5,54.3,46.82,48.6,1103689.5606139004
2017-04-09,48.6,48.6,41.05,43.937,1135777.5620480098
2017-04-16,44.029,51.505,43.011,49.58,623599.1047767998
2017-04-23,49.581,54.438,45.0,53.332,598097.65748395
2017-04-30,53.331,83.999,53.0,83.512,940091.9248962603
2017-05-07,83.518,101.7,66.001,94.213,1141174.9053912505
2017-05-14,94.884,95.48,77.76,90.37,577745.0358002197
2017-05-21,90.37,146.4,83.77,146.14,944626.6214103596
2017-05-28,146.14,206.06,110.42,161.91,1782560.4961073385
2017-06-04,161.48,245.98,155.01,241.06,827759.6050135202
2017-06-11,241.06,347.0,231.72,336.33,673725.7500292705
2017-06-18,336.24,412.21,265.0,348.88,1205622.3226161306
2017-06-25,348.83,366.52,253.2,277.0,666371.1100405607
2017-07-02,276.64,318.27,204.11,277.61,1596800.900315811
2017-07-09,277.24,283.98,226.68,234.97,716606.8293798009
2017-07-16,235.44,238.01,136.12,157.4,2369826.63903679
