ts,open,high,low,close,volume
2016-03-09,10.297,11.197000000000001,10.097000000000001,11.197000000000001,41.169523
2016-03-10,11.072000000000001,11.85,11.072000000000001,11.75,1.03
2016-03-11,11.85,11.95,11.8,11.95,50.846991
2016-03-12,11.95,13.45,11.95,12.918,237.777041
2016-03-13,13.45,15.074000000000002,13.45,14.456,379.267469
2016-03-14,14.530999999999999,14.95,11.4,12.402999999999999,27906.023460200006
2016-03-15,12.42,13.421,11.98,13.1,13193.037191059999
2016-03-16,13.1,13.89,12.409,12.548,6127.952784010002
2016-03-17,12.548,12.62,10.436,11.06,26283.328755919996
2016-03-18,11.08,11.198,8.338,10.99,45397.82847260999
2016-03-19,10.99,11.17,9.776,10.573,20588.72235951
2016-03-20,10.589,10.880999999999998,9.559,10.267999999999999,9578.361702899998
2016-03-21,10.219,12.048,10.14,11.8,11712.711932110002
2016-03-22,11.819,11.967,11.075,11.200999999999999,7852.679095539998
2016-03-23,11.222000000000001,12.429,11.200999999999999,12.42,7704.35809232
2016-03-24,12.44,12.47,10.679,11.18,14850.033080139996
2016-03-25,11.231,11.353,10.52,10.661,12480.83224585
2016-03-26,10.661,11.2,10.58,11.012,4485.951880199999
2016-03-27,10.981,10.981,10.172,10.407,15987.420736559992
2016-03-28,10.446,11.937999999999999,10.4,11.7,22206.94135461
2016-03-29,11.777000000000001,11.883,11.365,11.658,13840.373170230005
2016-03-30,11.615,12.3,11.5,11.847999999999999,10370.32585488
2016-03-31,11.864,12.015,11.29,11.386,9481.14428797
2016-04-01,11.390999999999998,11.942,11.390999999999998,11.624,6350.581607829999
2016-04-02,11.65,11.765,11.425999999999998,11.658,3477.6014777200003
2016-04-03,11.61,11.76,11.4,11.61,5388.04478383
2016-04-04,11.61,11.665,10.880999999999998,11.15,11117.236780439998
2016-04-05,11.104000000000001,11.107999999999999,9.7,10.468,15369.582508679994
2016-04-06,10.47,10.962,10.2,10.62,11476.547756399998
2016-04-07,10.692,10.847000000000001,9.405,10.137,14509.448042719998
2016-04-08,10.06,10.34,9.6,9.71,7427.291234269999
2016-04-09,9.72,10.197000000000001,9.0,9.137,18728.017940269994
2016-04-10,9.204,9.43,7.52,8.931000000000001,53033.26597244001
2016-04-11,8.9299,8.9329,8.01,8.699,17442.149436780004
2016-04-12,8.65,8.65,7.211,7.52,18971.643889490002
2016-04-13,7.465,8.8,6.855,8.05,40687.42181473997
2016-04-14,8.052999999999999,8.86,8.0,8.47,10384.73049946
2016-04-15,8.45,8.69,8.1,8.3199,8737.4877203
2016-04-16,8.296,8.68,8.1829,8.669,9105.953085809997
2016-04-17,8.616,10.899000000000001,8.589,9.29,28076.278443289983
2016-04-18,9.29,9.55,8.441,9.03,10909.341337940003
2016-04-19,9.052999999999999,9.379,8.6501,8.77,10788.79011048
2016-04-20,8.7401,9.047,8.3501,8.5054,48865.752350199975
2016-04-21,8.5,8.8,8.0,8.189,12853.96265137
2016-04-22,8.2247,8.408999999999999,7.73,7.9096,28068.27122067
2016-04-23,7.909,8.8,7.807,8.399,26012.32873108
2016-04-24,8.3484,8.5,8.01,8.1404,14892.630736370003
2016-04-25,8.1735,8.1735,7.3218,7.56,59567.251176509984
2016-04-26,7.56,7.599,7.1205,7.42,37192.763762660004
2016-04-27,7.398,7.99,7.314,7.837000000000001,26507.985464579997
2016-04-28,7.725,7.87,7.15,7.164,21316.86167951
2016-04-29,7.165,7.72,7.162999999999999,7.402,14689.027370720003
2016-04-30,7.4351,9.36,7.4351,8.7501,77451.74844566007
2016-05-01,8.7247,8.998,8.3503,8.7911,21739.554465749996
2016-05-02,8.83,10.3,8.633,10.079,85657.23977080997
2016-05-03,10.079,10.079,9.183,9.371,39457.90558954
2016-05-04,9.3819,9.9991,9.253,9.361,21519.827252150004
2016-05-05,9.4,10.0,9.3,9.75,19098.15404309
2016-05-06,9.78,9.9768,9.1202,9.45,26734.75613335
2016-05-07,9.45,9.644,9.2,9.408,9632.251799680005
2016-05-08,9.408,9.64,9.0,9.51,23125.104883189997
2016-05-09,9.5,9.647,9.252,9.361,22611.03067221001
2016-05-10,9.36,9.47,9.28,9.4,5466.868079009999
2016-05-11,9.3971,9.98,9.391,9.93,31483.9374067
2016-05-12,9.93,10.472000000000001,9.79,10.07,41337.27258813001
2016-05-13,10.088,11.11,10.065,10.564,56862.223272220035
2016-05-14,10.564,10.675,9.71,10.25,34420.82496343001
2016-05-15,10.25,10.42,9.934,10.008,12209.328815519999
2016-05-16,9.968,11.47,9.968,11.14,73690.54986527999
2016-05-17,11.12,12.6,11.097999999999999,12.174000000000001,155012.92634423007
2016-05-18,12.162,14.4,12.162,13.595,124398.04624164
2016-05-19,13.532,14.75,13.203,14.7,116892.27269802001
2016-05-20,14.7,14.89,13.31,13.571,100810.08413047998
2016-05-21,13.572000000000001,14.052,13.01,14.05,60939.37302975
2016-05-22,14.04,14.51,13.624,14.21,35618.775137239994
2016-05-23,14.224,14.49,13.3,13.509,51214.934035870014
2016-05-24,13.35,13.82,12.0,12.8,126111.78057383998
2016-05-25,12.8,13.0,11.8,12.522,72108.6373775
2016-05-26,12.499,13.067,12.13,12.414000000000001,62391.50286748002
2016-05-27,12.469000000000001,12.499,10.525,11.262,188603.15120888004
2016-05-28,11.241,12.499,10.384,11.898,173772.33154166
2016-05-29,11.985,12.89,11.78,12.45,133395.58282358
2016-05-30,12.482000000000001,12.81,12.3,12.745999999999999,37001.8576632
2016-05-31,12.727,14.3,12.6,14.13,154244.82896907002
2016-06-01,14.130999999999998,14.3,13.46,13.945,86596.08853878001
2016-06-02,13.94,14.029000000000002,13.607999999999999,13.77,45433.303587589995
2016-06-03,13.818,13.99,13.42,13.94,57902.82501313001
2016-06-04,13.94,13.962,13.404000000000002,13.700999999999999,40804.62560526001
2016-06-05,13.787,13.969000000000001,13.686,13.895,16549.050051169997
2016-06-06,13.97,14.193,13.800999999999998,13.949000000000002,33303.74277223003
2016-06-07,13.949000000000002,14.697000000000001,13.88,14.600999999999999,60569.2923888
2016-06-08,14.61,14.89,14.3,14.41,78019.60439456002
2016-06-09,14.41,14.7,14.374,14.494000000000002,18913.43397734
2016-06-10,14.494000000000002,14.51,13.561,13.97,63321.45715346999
2016-06-11,13.97,14.383,13.81,14.36,37906.991730290014
2016-06-12,14.36,16.087,14.225999999999999,15.777999999999999,165362.07181175012
2016-06-13,15.777999999999999,17.91,15.700999999999999,17.785999999999998,259931.83925592006
2016-06-14,17.635,19.41,16.0,18.75,337986.6919336498
2016-06-15,18.75,18.775,17.55,18.247,105901.83653544002
2016-06-16,18.278,21.1,18.278,20.697,296550.62019095983
2016-06-17,20.747,21.69,11.51,15.429,1369132.2482990078
