ts,open,high,low,close,volume
2016-01-01,3.4686,3.5225,3.4129,3.5189,9488.566647800002
2016-01-02,3.5179,3.5269,3.4403,3.4989999999999997,6814.512725469998
2016-01-03,3.5078,3.5078,3.4189999999999996,3.4869,14501.472506819999
2016-01-04,3.4801,3.5121,3.4516,3.5069999999999997,6478.70699339
2016-01-05,3.5069999999999997,3.5084,3.4464,3.489,6149.033898240002
2016-01-06,3.489,3.489,3.4257,3.4519,1836.0267357399998
2016-01-07,3.464,3.6409,3.45,3.62,43374.581690459985
2016-01-08,3.6108,3.64,3.5389999999999997,3.5919,14859.966748140001
2016-01-09,3.5806,3.5925,3.5302,3.58,4276.351294510002
2016-01-10,3.5601,3.5789999999999997,3.4721,3.533,26111.50143824
2016-01-11,3.5334,3.5714,3.5024,3.5517,13708.23936889
2016-01-12,3.5525,3.5525,3.44,3.4599,19431.634259489998
2016-01-13,3.4529,3.4772,3.37,3.4719,69845.4500302
2016-01-14,3.4516,3.4782,3.4162,3.4356,3074.6654839599996
2016-01-15,3.4499,3.4499,2.95,2.95,111120.46540388004
2016-01-16,2.95,3.1,2.9029,3.1,46920.16530944
2016-01-17,3.0997,3.1,2.9901,3.003,13764.604943550003
2016-01-18,3.0198,3.0699,2.97,3.055,28720.758121460003
2016-01-19,3.0618,3.07,2.9930000000000003,3.0099,12323.637891620003
2016-01-20,3.0099,3.44,2.9703,3.37,64629.91990964001
2016-01-21,3.37,3.4,3.1749,3.2057,20971.00496443
2016-01-22,3.2017,3.2101,3.0102,3.0411,22716.767099070003
2016-01-23,3.0479,3.1758,3.0479,3.1075,9695.244041639999
2016-01-24,3.0941,3.208,3.0512,3.1847,11082.207927519998
2016-01-25,3.1672,3.177,3.0753,3.1267,15849.733396209995
2016-01-26,3.1139,3.1669,3.0810000000000004,3.1291,6956.569602940001
2016-01-27,3.1284,3.3142,3.1237,3.2710000000000004,40974.21112933
2016-01-28,3.285,3.2888,3.062,3.1212,20002.727409419997
2016-01-29,3.1106,3.1213,3.0010000000000003,3.0829,30226.309818239995
2016-01-30,3.1018,3.1063,3.0303,3.0315,5870.685756890001
2016-01-31,3.0475,3.1022,3.0,3.0168,5932.28910534
2016-02-01,3.0167,3.076,3.0092,3.0515,3623.32797763
2016-02-02,3.05,3.0648,3.0239999999999996,3.053,6289.350830849999
2016-02-03,3.055,3.0799,3.0,3.0001,24512.462957350002
2016-02-04,3.0232,3.1878,3.0069999999999997,3.1509,12498.38860478
2016-02-05,3.15,3.1509,3.0852,3.113,6739.09373749
2016-02-06,3.113,3.12,3.0148,3.05,17851.720990000005
2016-02-07,3.0501,3.0779,3.02,3.0361,4928.325557949999
2016-02-08,3.0361,3.0773,3.0024,3.02,9054.26082943
2016-02-09,3.02,3.063,3.0005,3.0402,7451.49661814
2016-02-10,3.0402,3.1328,3.0221,3.0571,9029.139166339999
2016-02-11,3.0777,3.0887,3.0251,3.0818,3275.1986041499995
2016-02-12,3.0462,3.089,3.0271,3.0815,2092.38397751
2016-02-13,3.07,3.1299,3.0612,3.11,4509.899659559999
2016-02-14,3.117,3.19,3.1147,3.1809,8856.588355430002
2016-02-15,3.1809,3.2299,3.1092,3.1301,10161.189251239999
2016-02-16,3.1489999999999996,3.19,3.1314,3.1571,2873.00298694
2016-02-17,3.1618,3.2398,3.1618,3.1866,8482.84336199
2016-02-18,3.1795,3.2491,3.1795,3.2491,14986.657552209992
2016-02-19,3.239,3.2478,3.1501,3.2,19224.646631560005
2016-02-20,3.228,3.5,3.1793,3.4239,83923.06971299002
2016-02-21,3.4339999999999997,3.575,3.372,3.4742,35264.84756136999
2016-02-22,3.4458,3.5509,3.4,3.4728,6670.482735040001
2016-02-23,3.4796,3.54,3.3352,3.384,19143.641928279998
2016-02-24,3.4086,3.409,3.31,3.3567,7118.51357104
2016-02-25,3.3560000000000003,3.395,3.32,3.3635,3550.13282237
2016-02-26,3.3588,3.4354,3.32,3.4334,6677.338683659999
2016-02-27,3.4265,3.45,3.4,3.4112,2581.2443341499998
2016-02-28,3.41,3.4739999999999998,3.3391,3.4197,15264.840775679999
2016-02-29,3.4299,3.4985,3.3721,3.4489,11272.888083040001
2016-03-01,3.4408,3.4443,3.3722,3.435,5010.98815144
2016-03-02,3.4389,3.4499,3.346,3.346,10254.656232200003
2016-03-03,3.346,3.3465,3.2731,3.304,10274.039155450002
2016-03-04,3.3089999999999997,3.3398,3.2076,3.2254,16642.05709154
2016-03-05,3.219,3.2426,3.1103,3.1726,26903.87508683999
2016-03-06,3.1666,3.2303,3.1311,3.1778,11194.440762940001
2016-03-07,3.1765,3.2637,3.1551,3.241,14921.686685630002
2016-03-08,3.2430000000000003,3.2658,3.2030000000000003,3.2179,2734.6093185600002
2016-03-09,3.2064,3.2841,3.2001,3.2541,7339.517275940001
2016-03-10,3.2648,3.2969999999999997,3.2205,3.264,2493.0465092500003
2016-03-11,3.2645,3.4,3.2645,3.365,22879.08771181999
2016-03-12,3.3575,3.3826,3.25,3.2569,11798.696913619997
2016-03-13,3.2653,3.306,3.2552,3.2803,9663.54434859
2016-03-14,3.2803,3.3129,3.2553,3.3039,4076.180988470001
2016-03-15,3.3110000000000004,3.32,3.2581,3.3114,5395.623068469999
2016-03-16,3.2786,3.313,3.252,3.313,4097.407219240001
2016-03-17,3.2919,3.324,3.2589,3.2924,7598.55421706
2016-03-18,3.2921,3.2921,3.01,3.1457,86884.39921876
2016-03-19,3.155,3.1889,3.1221,3.1582,6906.66511041
2016-03-20,3.1596,3.1973,3.1553,3.1694,10133.83547633
2016-03-21,3.1718,3.197,3.1507,3.1919999999999997,2162.9939412699996
2016-03-22,3.1885,3.2389,3.1809,3.2132,3931.2396077099997
2016-03-23,3.2319,3.239,3.1891,3.23,7331.89930375
2016-03-24,3.2260000000000004,3.23,3.1958,3.2186,3741.65378709
2016-03-25,3.2161,3.2299,3.1885,3.2075,10814.65041237
2016-03-26,3.2211,3.2389,3.2101,3.2372,1482.97828811
2016-03-27,3.2323,3.3314,3.2060000000000004,3.2960000000000003,20965.014973879996
2016-03-28,3.3,3.3029,3.26,3.27,5189.461017960001
2016-03-29,3.2672,3.279,3.1787,3.228,8740.5881265
2016-03-30,3.2186,3.2375,3.16,3.2096,13635.969158009999
2016-03-31,3.2282,3.2635,3.2162,3.2539999999999996,6519.565963589999
2016-04-01,3.2539999999999996,3.2572,3.219,3.2416,5680.899923049999
2016-04-02,3.2417,3.2897,3.2417,3.2582,1554.8673538099977
2016-04-03,3.273,3.2793,3.2384,3.2443,1753.3008987299997
2016-04-04,3.2609,3.27,3.201,3.245,7258.086787300001
2016-04-05,3.2251,3.2760000000000002,3.2251,3.265,2397.06103838
2016-04-06,3.2760000000000002,3.2877,3.245,3.2467,7620.0504580100005
2016-04-07,3.2452,3.252,3.225,3.2305,3134.4831261100007
2016-04-08,3.2354,3.263,3.21,3.2324,1864.2716324800003
2016-04-09,3.2119999999999997,3.2333,3.2,3.2302,1984.1087868200002
2016-04-10,3.2271,3.2510000000000003,3.2098,3.233,1792.7719955100001
2016-04-11,3.2430000000000003,3.2687,3.2209,3.234,1901.73476765
2016-04-12,3.2489999999999997,3.3,3.2464,3.2625,5283.777003000001
2016-04-13,3.27,3.2956,3.2479,3.2693,2224.6463074499998
2016-04-14,3.2541,3.2785,3.2447,3.26,3032.1863728000003
2016-04-15,3.26,3.324,3.2536,3.2952,4126.3979727000005
2016-04-16,3.3083,3.3196,3.29,3.3104,4411.87827645
2016-04-17,3.2907,3.3046,3.2586,3.2849,1702.4991427900002
2016-04-18,3.2849,3.29,3.25,3.2511,9801.85704985
2016-04-19,3.26,3.32,3.2401,3.3199,5125.30957339
2016-04-20,3.2908,3.327,3.2634,3.3,15905.991088349994
2016-04-21,3.3007,3.3978,3.3,3.375,18512.5975798
2016-04-22,3.378,3.4,3.3219,3.3560000000000003,14190.683708070002
2016-04-23,3.3560000000000003,3.3899,3.3217,3.3698,16772.19811079
2016-04-24,3.3698,3.7,3.3678,3.6711,56269.07497577999
2016-04-25,3.6806,3.9278,3.5737,3.83,100871.32575145
2016-04-26,3.8301,4.1591,3.8128,4.0794,191841.15070576
2016-04-27,4.0791,4.2948,3.823,3.8931,273603.37212276994
2016-04-28,3.8680000000000003,3.955,3.701,3.8298,114960.97993166
2016-04-29,3.8102,3.88,3.7222,3.8207,47700.08148425001
2016-04-30,3.8207,3.8524,3.647,3.67,61276.70562183999
2016-05-01,3.67,3.7489999999999997,3.647,3.6969,24348.159626980007
2016-05-02,3.71,3.8106,3.6198,3.6743,54011.638693470006
2016-05-03,3.6578,3.7707,3.615,3.734,37902.64447498999
2016-05-04,3.7349,3.7799,3.7022,3.7333,4263.137542030002
2016-05-05,3.7333,3.7893,3.72,3.7203,9423.74772328
2016-05-06,3.7227,3.87,3.7031,3.8452,17834.067710050003
2016-05-07,3.8699,4.033,3.8451,3.98,44424.55969671
2016-05-08,3.9801,3.988,3.9055,3.966,12698.658936900001
2016-05-09,3.9356,4.1339,3.9125,4.08,27158.249536320003
2016-05-10,4.08,4.18,3.7826,3.8398,65432.1696222
2016-05-11,3.8428,3.9397,3.8289999999999997,3.8807,18655.3150961
2016-05-12,3.8792,3.8989999999999996,3.7851,3.859,16052.09590237
2016-05-13,3.8386,3.9725,3.8353,3.9351,17081.659993490004
2016-05-14,3.9342,4.0661,3.9342,4.0182,26195.12964824
2016-05-15,4.029,4.1258,3.96,4.0707,22125.88858686
2016-05-16,4.0617,4.2241,3.95,4.007,62188.73599120998
2016-05-17,4.0102,4.0506,3.9612,3.9669,27700.552786539996
2016-05-18,3.9715,4.0535,3.9623,4.0132,16423.33985668
2016-05-19,4.0022,4.0517,3.7352,3.7989,80789.41055355001
2016-05-20,3.7536,3.9296,3.7,3.87,88776.12717225
