ts,open,high,low,close,volume
2016-01-03,3.4686,3.5269,3.4129,3.4869,30804.55188008999
2016-01-10,3.4801,3.6409,3.4257,3.533,103086.16879872001
2016-01-17,3.5334,3.5714,2.9029,3.003,277865.22479941003
2016-01-24,3.0198,3.44,2.97,3.1847,170139.53995538002
2016-01-31,3.1672,3.3142,3.0,3.0168,125812.52621836998
2016-02-07,3.0167,3.1878,3.0,3.0361,76442.67065605
2016-02-14,3.0361,3.19,3.0005,3.1809,44268.96721056
2016-02-21,3.1809,3.575,3.1092,3.4742,174916.25705830002
2016-02-28,3.4458,3.5509,3.31,3.4197,61006.194850219996
2016-03-06,3.4299,3.4985,3.1103,3.1778,91552.94456344999
2016-03-13,3.1765,3.4,3.1551,3.2803,71830.18876340998
2016-03-20,3.2803,3.324,3.01,3.1694,125092.66529874
2016-03-27,3.1718,3.3314,3.1507,3.2960000000000003,50430.430314180005
2016-04-03,3.3,3.3029,3.16,3.2443,43074.652441649996
2016-04-10,3.2609,3.2877,3.2,3.233,26050.833824610003
2016-04-17,3.2430000000000003,3.324,3.2209,3.2849,22683.119842840002
2016-04-24,3.2849,3.7,3.2401,3.6711,136577.71208603
2016-05-01,3.6806,4.2948,3.5737,3.6969,814601.7752447099
2016-05-08,3.71,4.033,3.615,3.966,180558.45477743
2016-05-15,3.9356,4.18,3.7826,4.0707,192700.50838558
2016-05-22,4.0617,4.2241,3.7,3.8383,333325.48081916
2016-05-29,3.8661,4.8615,3.8313,4.5689,797320.43177274
2016-06-05,4.5332,4.9723,4.4393,4.8631,269190.62710453995
2016-06-12,4.8489,5.4,4.6635,5.25,322922.41564220993
2016-06-19,5.25,5.99,4.553,5.6031,1214466.0463854903
2016-06-26,5.602,5.602,3.51,4.0731,772468.88531605
2016-07-03,4.0588,4.6695,4.0,4.2809,228841.38555000004
2016-07-10,4.2534,4.563,3.915,4.138,215601.91496867005
2016-07-17,4.1074,4.2852,4.0631,4.1928,69249.73903429
2016-07-24,4.2188,4.2377,3.9617,4.0933,93565.1374878
2016-07-31,4.085,4.115,3.9,3.9419999999999997,102340.63474204001
2016-08-07,3.9315,3.9599,3.7,3.7332,70372.92460606003
2016-08-14,3.75,3.88,3.46,3.63,233529.93584986997
2016-08-21,3.63,3.65,3.49,3.6246,144780.79630370004
2016-08-28,3.6349,4.02,3.5996,3.7645,44546.16780937001
2016-09-04,3.781,4.1080000000000005,3.74,4.0101,38478.21076221
2016-09-11,4.0389,4.0969,3.873,3.8977,47798.22033386001
2016-09-18,3.8896,3.9017,3.7274,3.8334,12094.357610070003
2016-09-25,3.85,3.8758,3.7151,3.8,36492.50264382
2016-10-02,3.8488,3.8956,3.8139999999999996,3.8491,7023.825304789999
2016-10-09,3.8443,3.8888,3.7604,3.7866,11355.43891339
2016-10-16,3.8216,3.95,3.7685,3.8810000000000002,20151.40809243
2016-10-23,3.915,3.9995,3.7803,3.8997,19870.84926158
2016-10-30,3.9,4.105,3.7987,4.03,66931.83074425001
2016-11-06,4.03,4.205,3.8201,3.9184,70659.82635312
2016-11-13,3.9063,3.9889,3.5860000000000003,3.883,25263.97970177
